   0.800 -0.200 -0.49183306E+00
   0.800 -0.100 -0.49681915E+00
   0.800  0.000 -0.48026263E+00
   0.800  0.100 -0.46036841E+00
   0.800  0.200 -0.44173820E+00
   0.900 -0.200 -0.48114023E+00
   0.900 -0.100 -0.49972161E+00
   0.900  0.000 -0.49496053E+00
   0.900  0.100 -0.48300435E+00
   0.900  0.200 -0.46931554E+00
   1.000 -0.200 -0.46176441E+00
   1.000 -0.100 -0.49347636E+00
   1.000  0.000 -0.50000000E+00
   1.000  0.100 -0.49627497E+00
   1.000  0.200 -0.48834441E+00
   1.100 -0.200 -0.43249977E+00
   1.100 -0.100 -0.47711982E+00
   1.100  0.000 -0.49503464E+00
   1.100  0.100 -0.49987929E+00
   1.100  0.200 -0.49832648E+00
   1.200 -0.200 -0.39363943E+00
   1.200 -0.100 -0.45027605E+00
   1.200  0.000 -0.47970383E+00
   1.200  0.100 -0.49382242E+00
   1.200  0.200 -0.49888178E+00
