   0.800 -0.200 -0.49631565E+00
   0.800 -0.100 -0.51112333E+00
   0.800  0.000 -0.43359134E+00
   0.800  0.100 -0.43096365E+00
   0.800  0.200 -0.39152152E+00
   0.900 -0.200 -0.47515040E+00
   0.900 -0.100 -0.49786551E+00
   0.900  0.000 -0.47616109E+00
   0.900  0.100 -0.50573846E+00
   0.900  0.200 -0.43436627E+00
   1.000 -0.200 -0.43108213E+00
   1.000 -0.100 -0.51889010E+00
   1.000  0.000 -0.50000000E+00
   1.000  0.100 -0.48391207E+00
   1.000  0.200 -0.47260919E+00
   1.100 -0.200 -0.43575596E+00
   1.100 -0.100 -0.37905684E+00
   1.100  0.000 -0.48853835E+00
   1.100  0.100 -0.50054024E+00
   1.100  0.200 -0.50548742E+00
   1.200 -0.200 -0.28338239E+00
   1.200 -0.100 -0.38179720E+00
   1.200  0.000 -0.44135153E+00
   1.200  0.100 -0.47940136E+00
   1.200  0.200 -0.49557555E+00
