   0.800 -0.200 -0.49002295E+00
   0.800 -0.100 -0.49677252E+00
   0.800  0.000 -0.48037714E+00
   0.800  0.100 -0.45982769E+00
   0.800  0.200 -0.44225215E+00
   0.900 -0.200 -0.48115479E+00
   0.900 -0.100 -0.49975356E+00
   0.900  0.000 -0.49522285E+00
   0.900  0.100 -0.48396561E+00
   0.900  0.200 -0.46946773E+00
   1.000 -0.200 -0.45974282E+00
   1.000 -0.100 -0.49276258E+00
   1.000  0.000 -0.50000000E+00
   1.000  0.100 -0.49594810E+00
   1.000  0.200 -0.48969579E+00
   1.100 -0.200 -0.43285182E+00
   1.100 -0.100 -0.47690790E+00
   1.100  0.000 -0.49468102E+00
   1.100  0.100 -0.49988822E+00
   1.100  0.200 -0.49832215E+00
   1.200 -0.200 -0.39502432E+00
   1.200 -0.100 -0.45140746E+00
   1.200  0.000 -0.47976735E+00
   1.200  0.100 -0.49431569E+00
   1.200  0.200 -0.49931340E+00
